Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance
0day00:51:20,4.8850,1.9899,7.3761,1.5772,65.92,66.48,832
0day00:51:30,4.8850,1.9900,7.4031,1.5827,66.16,66.71,827
0day00:51:40,4.8840,1.9899,7.4301,1.5882,66.41,66.95,825
0day00:51:50,4.8830,1.9902,7.4571,1.5937,66.65,67.18,821
0day00:52:00,4.8820,1.9901,7.4840,1.5993,66.89,67.41,819
0day00:52:10,4.8820,1.9902,7.5110,1.6048,67.13,67.65,819
0day00:52:20,4.8810,1.9901,7.5380,1.6103,67.37,67.88,817
0day00:52:30,4.8810,1.9901,7.5650,1.6159,67.61,68.11,816
0day00:52:40,4.8810,1.9903,7.5920,1.6214,67.85,68.35,815
0day00:52:50,4.8810,1.9902,7.6190,1.6269,68.09,68.58,814
0day00:53:00,4.8800,1.9900,7.6459,1.6324,68.34,68.81,814
0day00:53:10,4.8800,1.9902,7.6729,1.6380,68.58,69.04,810
0day00:53:20,4.8800,1.9901,7.6999,1.6435,68.82,69.28,810
0day00:53:30,4.8790,1.9895,7.7269,1.6490,69.06,69.51,808
0day00:53:40,4.8780,1.9896,7.7538,1.6546,69.30,69.74,810
0day00:53:50,4.8770,1.9897,7.7808,1.6601,69.54,69.98,811
0day00:54:00,4.8770,1.9899,7.8077,1.6656,69.78,70.21,813
0day00:54:10,4.8770,1.9897,7.8347,1.6711,70.02,70.44,815
0day00:54:20,4.8770,1.9900,7.8617,1.6767,70.26,70.68,814
0day00:54:30,4.8760,1.9899,7.8886,1.6822,70.50,70.91,812
0day00:54:40,4.8760,1.9893,7.9155,1.6877,70.74,71.14,819
0day00:54:50,4.8760,1.9897,7.9425,1.6932,70.99,71.37,824
0day00:55:00,4.8760,1.9888,7.9694,1.6988,71.23,71.61,831
0day00:55:10,4.8770,1.9900,7.9964,1.7043,71.47,71.84,836
0day00:55:20,4.8770,1.9898,8.0233,1.7098,71.71,72.07,840
0day00:55:30,4.8760,1.9897,8.0503,1.7154,71.95,72.31,845
0day00:55:40,4.8760,1.9900,8.0773,1.7209,72.19,72.54,851
0day00:55:50,4.8740,1.9902,8.1042,1.7264,72.43,72.77,866
0day00:56:00,3.4530,1.8000,8.1215,1.7314,72.58,72.98,349
0day00:56:10,2.7560,1.4328,8.1324,1.7354,72.68,73.15,375
0day00:56:20,4.8790,1.9897,8.1594,1.7409,72.92,73.38,647
0day00:56:30,4.8770,1.9897,8.1864,1.7464,73.16,73.62,791
0day00:56:40,4.8780,1.9898,8.2133,1.7520,73.41,73.85,823
0day00:56:50,4.8770,1.9904,8.2403,1.7575,73.65,74.08,833
0day00:57:00,4.8770,1.9903,8.2672,1.7630,73.89,74.32,836
0day00:57:10,4.8770,1.9900,8.2942,1.7686,74.13,74.55,842
0day00:57:20,4.8760,1.9896,8.3211,1.7741,74.37,74.78,653
0day00:57:30,3.1340,1.6954,8.3359,1.7788,74.50,74.98,709
0day00:57:40,4.5810,1.9900,8.3612,1.7843,74.73,75.21,513
0day00:57:50,4.8790,1.9896,8.3882,1.7898,74.97,75.45,734
0day00:58:00,4.8790,1.9907,8.4152,1.7954,75.21,75.68,815
0day00:58:10,4.8790,1.9902,8.4421,1.8009,75.45,75.91,817
0day00:58:20,4.8780,1.9901,8.4691,1.8064,75.69,76.15,817
0day00:58:30,4.8780,1.9902,8.4961,1.8120,75.93,76.38,816
0day00:58:40,4.8790,1.9898,8.5230,1.8175,76.17,76.61,820
0day00:58:50,4.8790,1.9907,8.5500,1.8230,76.42,76.84,826
0day00:59:00,4.8790,1.9901,8.5770,1.8285,76.66,77.08,825
